Country;Country Name;Country RegionId;Variable;Variable Name;Variable Definition;Measure;Measure Name;Measure Note;Scale;Units;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
BE;Belgium;BE;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;5.5;5.9;6.6;6.7;6.6;6.3;6.4;6.1;6.6;7.1;9.2;8.1;7;6.8;7;7;6.3;6.1;5.7;6.1;5.7;5.4;5.6;5.6;5.6;5.6
BG;Bulgaria;BG;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;7;11.4;9.8;9.2;9.8;8.7;10.1;9.3;12.8;12.5;14.8;17.8;17.3;22.7;23.9;23;21.8;15;14;13.5;13.1;12.5;12.4;12.5;12.5;12.4
CY;Cyprus;CY;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;34.4;29.5;34.2;34.1;36.2;31.3;30.3;31.7;30.8;32.6;35.1;35.6;32.2;28.6;26.9;25.9;24.2;24.1;21.4;18.3;18.5;19.2;20.7;20.9;22.6;24
CZ;Czech Republic;CZ;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;7.8;8.6;9.3;11.1;10.9;10;11;11.5;11.4;10.7;12.5;11.9;11.6;11.3;10.9;11.4;11.7;11.1;11;11.2;11.1;10.6;10.9;11;11.1;11.1
DK;Denmark;DK;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;8.6;9.4;9;9;8.8;8.4;9;8.9;9;8.9;10.2;9.9;9.1;8.2;8.2;8.3;7.8;7.4;7.2;7.8;7.9;7.4;7.5;7.6;7.6;7.6
EE;Estonia;EE;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;-0.4;10;17.1;10.2;8.9;13.7;13.3;14.1;14.5;15.9;16.8;16.2;16.2;15.3;15.9;15.7;14.7;12.3;12.9;13.8;13.3;12.9;12.8;12.7;12.7;12.9
FI;Finland;FI;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;6.1;6.6;8.9;8.2;8.5;8;8.5;8.6;9.2;9.4;9.8;9.3;9.1;8.6;8.2;7.7;7.3;7.4;6.8;7.1;6.6;6.7;6.8;6.8;7.1;7.4
FR;France;FR;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;10.9;10.8;13.1;13;12.2;12.5;12.4;13.1;12.5;13.1;14;13.8;13.1;12.4;12.7;12.1;12;11.6;11.2;11.2;10.5;10.9;10.8;10.9;10.9;11
DE;Germany;DE;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;4.7;5.3;7.8;6.3;6.2;5.2;6.3;6.3;6.2;6.3;6.7;6.4;5.8;5.2;5.2;5.1;5.1;4.8;4.8;4.9;5.1;4.9;4.7;4.6;4.6;4.6
GR;Greece;GR;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;19.2;19;19;18.8;18.9;20;19.2;18.9;19;19.4;19.2;19.4;19;18.1;18.2;19.5;19.8;19.4;18.7;17.7;17.8;17.6;18.3;18.9;19.6;20.1
HU;Hungary;HU;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;10.8;10;10.6;9.4;9.8;14.2;16;17;15.4;13.5;14.2;13.6;10.9;10;9.2;10.1;9.9;9.4;9.9;10.8;10.2;10.1;10.1;10;10.4;10.6
IE;Ireland;IE;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;12.1;13.7;11;18.5;9.2;7.7;8.2;7;8.9;8.6;7.7;7.8;7.1;7.2;6.9;7.1;7.7;7.6;7.7;8.2;8.6;8.9;9.3;9.2;9.6;9.9
IT;Italy;IT;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;11.2;10.9;10.7;11.3;11.8;11.4;12;12.2;12.4;12.7;14.2;14.1;13.5;12.9;12.8;12.4;12.7;12.7;11.8;11.4;11.3;11.8;11.6;11.6;11.8;11.9
LV;Latvia;LV;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;0.1;0.4;0.3;1;2.9;1.9;4.4;5.1;4.9;4.1;4.8;4.5;5.3;5.6;6.2;7;7.1;7;7.5;7.9;7.6;7.2;7.1;7.5;8;8.4
LU;Luxembourg;LU;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;5.9;5.4;6.8;7.8;6.1;7;6;8.9;7.4;10;6.1;6.6;5.4;4.6;5.5;5.5;5.7;5.9;6.2;6.4;6.6;7.3;7.1;7.3;7.4;7.5
MT;Malta;MT;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;35.2;35.6;34.5;38.8;39.4;33.6;33.8;35.5;32;32.1;28.3;27.5;27.4;27.1;25.7;26.3;26.3;26.7;26.9;24.5;26.5;27.4;27.2;27.4;28;28.2
NL;Netherlands;NL;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;9.9;9.9;9.9;11.2;10.6;10.2;11;12.8;13;13.2;13;12.9;12.7;13.2;13.4;12.8;12.5;12.2;11.1;9.8;9.7;9.5;9.6;9.7;9.7;9.8
PL;Poland;PL;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;2.8;5.2;6.6;6.9;8.9;7;7.8;8.4;7.5;6.4;6;5.2;5.1;4.8;5;5.1;5.2;5.5;5.1;4.9;4.6;4.7;4.8;4.8;4.8;4.8
PT;Portugal;PT;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;15.5;15.6;13.2;15.6;13.7;13.1;13;13.6;14.5;13.5;15.9;16;17.2;15.8;16;16.1;15.2;15.8;16.6;16.5;17.5;17.6;18.4;19;19.3;19.6
RO;Romania;RO;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;0;6.2;6.5;5.5;6.8;7.4;6.9;6.8;5.2;4.7;5;4.7;4.9;5.3;5.7;7.6;6.3;6.6;6.8;6.3;6;5.3;5.6;5.8;6.2;6.5
SK;Slovakia;SK;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;1.7;2.5;2.8;3.9;4.2;4.5;5;4.7;4.4;3.8;3.8;4.6;4.9;4.6;4.3;4.8;5.1;5.9;6.4;6.7;5.9;5.7;5.6;5.5;5.6;5.7
SI;Slovenia;SI;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;9.4;6.1;9.9;10.4;10.3;10;11.1;12.2;11;9.9;11;11.8;11.7;11.1;11.3;11.8;11.3;11.3;11.7;12.4;12.5;12.9;13.1;13.5;13.9;14.1
ES;Spain;ES;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;15.6;16.1;15.3;15;18.5;16.4;15.4;16.1;15.9;15.7;16.9;16.9;16.8;15.9;16.6;17;16;15.8;15.9;15.9;15.3;15.4;15.5;15.4;15.3;15.3
SE;Sweden;SE;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;6.4;7.2;7.2;10.1;9.6;7.8;8.8;9.7;9.2;9.5;9.1;10.2;10.3;9.9;9.9;10.1;10.4;10.6;10.7;11.8;11.6;11.7;12.2;12.4;12.7;12.8
GB;UK;GB;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;8;7.9;7.9;8.2;8.2;8.3;8.7;9.1;9.3;8.2;8.6;8.3;8.2;7.6;7.6;7.5;7.9;7.2;7.2;7.6;7.7;7.5;7.5;7.6;7.7;7.8
KN.A72;Latin America;-;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;11.4;8.4;8.3;7.7;8.3;7.7;7.6;7.7;7.4;7.6;7.5;7.7;8.3;8.6;8.7;8.7;8.7;8.3;7.9;8.1;7.7;7.6;7.8;7.9;8.1;8.2
AR;Argentina;AR;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;8.9;8.3;8.2;8.2;6.9;7.4;7.3;7.8;7.9;8;7.9;7.9;9.9;8.6;9.7;11.3;11.6;11.7;10.7;10.2;9.7;9.2;9.4;9.5;9.7;9.9
BZ;Belize;BZ;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;14.7;14.6;13.3;15.3;15.6;16.8;19.5;19.7;20.2;19.7;19.5;18.9;18.5;21.6;24.2;28.9;32.3;34.7;32.9;32.3;31.7;29.8;30.9;31.5;32.2;33
BO;Bolivia;BO;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;6.5;6.3;6.1;6.3;5.1;4.3;4.4;5.6;5.7;5.7;4.8;5.7;6.3;7.6;8.5;9.2;8.7;8.1;6.7;6.5;6;6;6.2;6.2;6.4;6.4
BR;Brazil;BR;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;12.2;11.1;10.9;9.6;11.1;9.7;8.9;8.8;8.4;8.7;8.5;8.7;9.6;10.1;9.9;9.2;9.2;8.2;7.8;8.1;7.8;7.9;8.2;8.4;8.7;8.7
CL;Chile;CL;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;5;5.7;5.9;6.8;6.7;6.9;7.3;8.3;8.4;8.1;7.4;8.1;8.1;7.4;7.7;7.8;7.3;7;7.6;8.5;7.5;7.5;7.8;7.7;7.6;7.6
CO;Colombia;CO;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;4;4.2;4.6;4.7;4.6;4.9;5.2;5.1;4.9;5;5.1;5.2;5.3;5.8;6.2;6.3;6.5;6.3;5.7;6;5.8;5.4;5.4;5.5;5.5;5.5
CR;Costa Rica;CR;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;10.6;9.8;10.1;11;10.9;11;11.6;11.9;12.3;12.3;14.3;13.6;12.6;13.8;14.3;15.8;15;15;14.8;13.6;12.5;11.2;11.4;11.5;11.8;12.1
